ID,Data,Hora_Inicio,Hora_Fim,Modelo_Veiculo,Placa,kWh_Consumido,Preco_Total,Metodo_Pagamento,Potencia_kW,Tempo_Recarga_Min,Status_Conclusao,ID_Cliente,ID_Estacao
15,2025-01-02,14:15,15:45,Mercedes EQC,QRS7890,67.2,151.20,Cartão de Crédito,100,90,Completa,C1015,E04
16,2025-01-02,16:00,17:15,Skoda Enyaq,TUV1234,48.5,109.13,Aplicativo,100,75,Completa,C1016,E04
17,2025-01-02,17:30,18:45,Opel Mokka-e,WXY5678,33.6,75.60,Cartão de Crédito,50,75,Completa,C1017,E02
18,2025-01-02,19:00,20:30,Volvo XC40 Recharge,ZAB9012,70.1,157.73,Aplicativo,150,90,Completa,C1018,E05
19,2025-01-02,20:45,22:00,DS 3 Crossback E-Tense,CDE3456,30.2,67.95,Cartão de Débito,50,75,Completa,C1019,E03
20,2025-01-03,08:00,09:15,Tesla Model S,FGH7890,82.5,185.63,Cartão de Crédito,150,75,Completa,C1020,E05
21,2025-01-03,09:30,10:45,Renault Twingo Electric,IJK1234,22.4,50.40,Aplicativo,22,75,Completa,C1021,E02
22,2025-01-03,11:00,12:30,Jaguar I-Pace,LMN5678,72.8,163.80,Cartão de Crédito,100,90,Completa,C1022,E04
23,2025-01-03,12:45,14:00,Honda e,OPQ9012,28.9,65.03,Cartão de Débito,50,75,Completa,C1023,E03
24,2025-01-03,14:15,15:30,BYD Han,RST3456,60.3,135.68,Aplicativo,100,75,Completa,C1024,E04
25,2025-01-03,15:45,17:15,Tesla Model X,UVW7890,95.4,214.65,Cartão de Crédito,150,90,Completa,C1025,E05
26,2025-01-03,17:30,18:30,Smart EQ ForTwo,XYZ1234,16.8,37.80,Aplicativo,22,60,Completa,C1026,E02
27,2025-01-03,18:45,20:15,Ford Mustang Mach-E,ABC5678,68.9,155.03,Cartão de Débito,100,90,Completa,C1027,E04
28,2025-01-03,20:30,21:45,Audi Q4 e-tron,DEF9012,52.6,118.35,Cartão de Crédito,100,75,Completa,C1028,E04
29,2025-01-04,07:45,09:00,Citroen e-C4,GHI3456,35.8,80.55,Aplicativo,50,75,Completa,C1029,E03
30,2025-01-04,09:15,10:45,Polestar 2,JKL7890,67.5,151.88,Cartão de Crédito,150,90,Completa,C1030,E05
31,2025-01-04,11:00,12:15,Mazda MX-30,MNO1234,30.1,67.73,Cartão de Débito,50,75,Completa,C1031,E01
32,2025-01-04,12:30,14:00,Nissan Ariya,PQR5678,63.2,142.20,Aplicativo,100,90,Completa,C1032,E04
33,2025-01-04,14:15,15:15,SEAT Mii Electric,STU9012,21.5,48.38,Cartão de Crédito,50,60,Completa,C1033,E03
34,2025-01-04,15:30,16:45,Volkswagen ID.3,VWX3456,45.6,102.60,Cartão de Débito,100,75,Completa,C1034,E04
35,2025-01-04,17:00,18:30,Tesla Model 3,YZA7890,48.3,108.68,Aplicativo,150,90,Completa,C1035,E05
36,2025-01-04,18:45,20:00,Hyundai Ioniq 5,BCD1234,57.8,130.05,Cartão de Crédito,350,75,Completa,C1036,E06
37,2025-01-04,20:15,21:30,Kia EV6,EFG5678,64.2,144.45,Aplicativo,350,75,Completa,C1037,E06
38,2025-01-05,08:30,09:45,BMW iX3,HIJ9012,58.9,132.53,Cartão de Débito,100,75,Completa,C1038,E04
39,2025-01-05,10:00,11:30,Dacia Spring,KLM3456,26.7,60.08,Cartão de Crédito,22,90,Completa,C1039,E02
40,2025-01-05,11:45,13:00,Lexus UX 300e,NOP7890,47.2,106.20,Aplicativo,50,75,Completa,C1040,E03
41,2025-01-05,13:15,14:45,Mercedes EQA,QRS1234,55.6,125.10,Cartão de Débito,100,90,Completa,C1041,E04
42,2025-01-05,15:00,16:15,MG ZS EV,TUV5678,38.4,86.40,Cartão de Crédito,50,75,Completa,C1042,E01
43,2025-01-05,16:30,17:45,Toyota bZ4X,WXY9012,61.5,138.38,Aplicativo,100,75,Completa,C1043,E04
44,2025-01-05,18:00,19:30,Volkswagen ID.5,ZAB3456,69.8,157.05,Cartão de Crédito,100,90,Completa,C1044,E04
45,2025-01-05,19:45,21:00,Volvo C40 Recharge,CDE7890,64.3,144.68,Cartão de Débito,150,75,Completa,C1045,E05
46,2025-01-06,07:15,08:30,Tesla Model Y,FGH1234,54.7,123.08,Aplicativo,150,75,Completa,C1046,E05
47,2025-01-06,08:45,10:00,Renault Megane E-Tech,IJK5678,45.2,101.70,Cartão de Crédito,100,75,Completa,C1047,E04
48,2025-01-06,10:15,11:45,Skoda Enyaq Coupe,LMN9012,58.3,131.18,Cartão de Débito,100,90,Completa,C1048,E04
49,2025-01-06,12:00,13:15,Cupra Born,OPQ3456,42.7,96.08,Aplicativo,100,75,Completa,C1049,E04
50,2025-01-06,13:30,14:45,Subaru Solterra,RST7890,63.1,141.98,Cartão de Crédito,100,75,Completa,C1050,E04
51,2025-01-06,15:00,16:30,Genesis GV60,UVW1234,72.5,163.13,Aplicativo,350,90,Completa,C1051,E06
52,2025-01-06,16:45,18:00,Tesla Model S,XYZ5678,85.6,192.60,Cartão de Débito,150,75,Completa,C1052,E05
53,2025-01-06,18:15,19:30,Fiat 500e,ABC9012,23.8,53.55,Cartão de Crédito,50,75,Completa,C1053,E03
54,2025-01-06,19:45,21:15,BMW i4,DEF3456,67.4,151.65,Aplicativo,150,90,Completa,C1054,E05
55,2025-01-07,08:00,09:15,Nissan Leaf,GHI7890,36.2,81.45,Cartão de Débito,50,75,Completa,C1055,E01
56,2025-01-07,09:30,10:45,Hyundai Kona,JKL1234,34.8,78.30,Cartão de Crédito,50,75,Completa,C1056,E03
57,2025-01-07,11:00,12:30,Audi e-tron GT,MNO5678,83.6,188.10,Aplicativo,350,90,Completa,C1057,E06
58,2025-01-07,12:45,14:00,Volkswagen ID.4,PQR9012,41.9,94.28,Cartão de Débito,100,75,Completa,C1058,E04
59,2025-01-07,14:15,15:30,Kia e-Niro,STU3456,37.5,84.38,Cartão de Crédito,50,75,Completa,C1059,E01
60,2025-01-07,15:45,17:15,Porsche Taycan,VWX7890,79.8,179.55,Aplicativo,350,90,Completa,C1060,E06
61,2025-01-07,17:30,18:45,Mini Electric,YZA1234,26.5,59.63,Cartão de Débito,50,75,Completa,C1061,E03
62,2025-01-07,19:00,20:15,Mercedes EQC,BCD5678,65.7,147.83,Cartão de Crédito,100,75,Completa,C1062,E04
63,2025-01-07,20:30,22:00,Tesla Model X,EFG9012,94.2,211.95,Aplicativo,150,90,Completa,C1063,E05
64,2025-01-08,07:45,09:00,Opel Mokka-e,HIJ3456,32.8,73.80,Cartão de Crédito,50,75,Completa,C1064,E01
65,2025-01-08,09:15,10:30,Volvo XC40 Recharge,KLM7890,68.9,155.03,Cartão de Débito,150,75,Completa,C1065,E05
66,2025-01-08,10:45,12:15,DS 3 Crossback E-Tense,NOP1234,31.4,70.65,Aplicativo,50,90,Completa,C1066,E03
67,2025-01-08,12:30,13:45,Jaguar I-Pace,QRS5678,71.6,161.10,Cartão de Crédito,100,75,Completa,C1067,E04
68,2025-01-08,14:00,15:15,Honda e,TUV9012,27.3,61.43,Cartão de Débito,50,75,Completa,C1068,E01
69,2025-01-08,15:30,17:00,Ford Mustang Mach-E,WXY3456,67.2,151.20,Aplicativo,100,90,Completa,C1069,E04
70,2025-01-08,17:15,18:30,Audi Q4 e-tron,ZAB7890,51.8,116.55,Cartão de Crédito,100,75,Completa,C1070,E04
71,2025-01-08,18:45,20:00,Citroen e-C4,CDE1234,36.4,81.90,Aplicativo,50,75,Completa,C1071,E03
72,2025-01-08,20:15,21:45,Polestar 2,FGH5678,66.9,150.53,Cartão de Débito,150,90,Completa,C1072,E05
73,2025-01-09,08:15,09:30,Mazda MX-30,IJK9012,29.5,66.38,Cartão de Crédito,50,75,Completa,C1073,E03
74,2025-01-09,09:45,11:00,Nissan Ariya,LMN3456,62.4,140.40,Aplicativo,100,75,Completa,C1074,E04
75,2025-01-09,11:15,12:15,SEAT Mii Electric,OPQ7890,20.8,46.80,Cartão de Débito,50,60,Completa,C1075,E01
76,2025-01-09,12:30,14:00,Volkswagen ID.3,RST1234,44.9,101.03,Cartão de Crédito,100,90,Completa,C1076,E04
77,2025-01-09,14:15,15:30,Hyundai Ioniq 5,UVW5678,56.7,127.58,Aplicativo,350,75,Completa,C1077,E06
78,2025-01-09,15:45,17:00,Kia EV6,XYZ9012,63.5,142.88,Cartão de Débito,350,75,Completa,C1078,E06
79,2025-01-09,17:15,18:45,BMW iX3,ABC3456,57.8,130.05,Cartão de Crédito,100,90,Completa,C1079,E04
80,2025-01-09,19:00,20:00,Dacia Spring,DEF7890,25.6,57.60,Aplicativo,22,60,Completa,C1080,E02
81,2025-01-09,20:15,21:30,Tesla Model 3,GHI1234,47.2,106.20,Cartão de Débito,150,75,Completa,C1081,E05
82,2025-01-10,07:30,08:45,Lexus UX 300e,JKL5678,46.5,104.63,Cartão de Crédito,50,75,Completa,C1082,E03
83,2025-01-10,09:00,10:30,Mercedes EQA,MNO9012,54.8,123.30,Aplicativo,100,90,Completa,C1083,E04
84,2025-01-10,10:45,12:00,MG ZS EV,PQR3456,37.6,84.60,Cartão de Débito,50,75,Completa,C1084,E01
85,2025-01-10,12:15,13:30,Toyota bZ4X,STU7890,60.3,135.68,Cartão de Crédito,100,75,Completa,C1085,E04
86,2025-01-10,13:45,15:15,Volkswagen ID.5,VWX1234,68.7,154.58,Aplicativo,100,90,Completa,C1086,E04
87,2025-01-10,15:30,16:45,Volvo C40 Recharge,YZA5678,63.1,141.98,Cartão de Débito,150,75,Completa,C1087,E05
88,2025-01-10,17:00,18:15,Tesla Model Y,BCD9012,53.5,120.38,Cartão de Crédito,150,75,Completa,C1088,E05
89,2025-01-10,18:30,19:45,Renault Megane E-Tech,EFG3456,44.3,99.68,Aplicativo,100,75,Completa,C1089,E04
90,2025-01-10,20:00,21:30,Skoda Enyaq Coupe,HIJ7890,57.6,129.60,Cartão de Débito,100,90,Completa,C1090,E04
91,2025-01-11,08:00,09:15,Cupra Born,KLM1234,41.8,94.05,Cartão de Crédito,100,75,Completa,C1091,E04
92,2025-01-11,09:30,10:45,Subaru Solterra,NOP5678,62.4,140.40,Aplicativo,100,75,Completa,C1092,E04
93,2025-01-11,11:00,12:30,Genesis GV60,QRS9012,71.6,161.10,Cartão de Débito,350,90,Completa,C1093,E06
94,2025-01-11,12:45,14:00,Tesla Model S,TUV3456,84.3,189.68,Cartão de Crédito,150,75,Completa,C1094,E05
95,2025-01-11,14:15,15:15,Fiat 500e,WXY7890,22.9,51.53,Aplicativo,50,60,Completa,C1095,E03
96,2025-01-11,15:30,17:00,BMW i4,ZAB1234,66.2,148.95,Cartão de Débito,150,90,Completa,C1096,E05
97,2025-01-11,17:15,18:30,Nissan Leaf,CDE5678,35.4,79.65,Cartão de Crédito,50,75,Completa,C1097,E01
98,2025-01-11,18:45,20:00,Hyundai Kona,FGH9012,33.9,76.28,Aplicativo,50,75,Completa,C1098,E03
99,2025-01-11,20:15,21:45,Audi e-tron GT,IJK3456,82.7,186.08,Cartão de Débito,350,90,Completa,C1099,E06
100,2025-01-12,07:45,09:00,Volkswagen ID.4,LMN7890,40.8,91.80,Cartão de Crédito,100,75,Completa,C1100,E04
101,2025-01-12,09:15,10:30,Kia e-Niro,OPQ1234,36.7,82.58,Aplicativo,50,75,Completa,C1101,E01
102,2025-01-12,10:45,12:15,Porsche Taycan,RST5678,78.5,176.63,Cartão de Débito,350,90,Completa,C1102,E06
103,2025-01-12,12:30,13:45,Mini Electric,UVW9012,25.7,57.83,Cartão de Crédito,50,75,Completa,C1103,E03
104,2025-01-12,14:00,15:15,Mercedes EQC,XYZ3456,64.8,145.80,Aplicativo,100,75,Completa,C1104,E04
105,2025-01-12,15:30,17:00,Tesla Model X,ABC7890,93.1,209.48,Cartão de Débito,150,90,Completa,C1105,E05
106,2025-01-12,17:15,18:30,Opel Mokka-e,DEF1234,31.9,71.78,Cartão de Crédito,50,75,Completa,C1106,E01
107,2025-01-12,18:45,20:00,Volvo XC40 Recharge,GHI5678,67.8,152.55,Aplicativo,150,75,Completa,C1107,E05
108,2025-01-12,20:15,21:30,DS 3 Crossback E-Tense,JKL9012,30.5,68.63,Cartão de Débito,50,75,Interrompida,C1108,E03
109,2025-01-13,08:30,10:00,Jaguar I-Pace,MNO3456,70.4,158.40,Cartão de Crédito,100,90,Completa,C1109,E04
110,2025-01-13,10:15,11:30,Honda e,PQR7890,26.4,59.40,Aplicativo,50,75,Completa,C1110,E01
111,2025-01-13,11:45,13:15,Ford Mustang Mach-E,STU1234,66.4,149.40,Cartão de Débito,100,90,Completa,C1111,E04
112,2025-01-13,13:30,14:45,Audi Q4 e-tron,VWX5678,50.9,114.53,Cartão de Crédito,100,75,Completa,C1112,E04
113,2025-01-13,15:00,16:15,Citroen e-C4,YZA9012,35.6,80.10,Aplicativo,50,75,Completa,C1113,E03
114,2025-01-13,16:30,18:00,Polestar 2,BCD3456,65.7,147.83,Cartão de Débito,150,90,Completa,C1114,E05
115,2025-01-13,18:15,19:15,Mazda MX-30,EFG7890,28.7,64.58,Cartão de Crédito,50,60,Completa,C1115,E03
116,2025-01-13,19:30,20:45,Nissan Ariya,HIJ1234,61.6,138.60,Aplicativo,100,75,Completa,C1116,E04
117,2025-01-13,21:00,21:45,SEAT Mii Electric,KLM5678,15.3,34.43,Cartão de Débito,50,45,Interrompida,C1117,E01
118,2025-01-14,07:30,09:00,Volkswagen ID.3,NOP9012,44.2,99.45,Cartão de Crédito,100,90,Completa,C1118,E04
119,2025-01-14,09:15,10:30,Hyundai Ioniq 5,QRS3456,55.9,125.78,Aplicativo,350,75,Completa,C1119,E06
120,2025-01-14,10:45,12:00,Kia EV6,TUV7890,62.7,141.08,Cartão de Débito,350,75,Completa,C1120,E06
121,2025-01-14,12:15,13:45,BMW iX3,WXY1234,56.8,127.80,Cartão de Crédito,100,90,Completa,C1121,E04
122,2025-01-14,14:00,15:00,Dacia Spring,ZAB5678,24.3,54.68,Aplicativo,22,60,Completa,C1122,E02
123,2025-01-14,15:15,16:30,Tesla Model 3,CDE9012,46.5,104.63,Cartão de Débito,150,75,Completa,C1123,E05
124,2025-01-14,16:45,18:00,Lexus UX 300e,FGH3456,45.7,102.83,Cartão de Crédito,50,75,Completa,C1124,E03
125,2025-01-14,18:15,19:45,Mercedes EQA,IJK7890,53.9,121.28,Aplicativo,100,90,Completa,C1125,E04
126,2025-01-14,20:00,21:15,MG ZS EV,LMN1234,36.8,82.80,Cartão de Débito,50,75,Completa,C1126,E01
127,2025-01-15,08:00,09:15,Toyota bZ4X,OPQ5678,59.4,133.65,Cartão de Crédito,100,75,Completa,C1127,E04
128,2025-01-15,09:30,11:00,Volkswagen ID.5,RST9012,67.9,152.78,Aplicativo,100,90,Completa,C1128,E04
129,2025-01-15,11:15,12:30,Volvo C40 Recharge,UVW3456,62.3,140.18,Cartão de Débito,150,75,Completa,C1129,E05
130,2025-01-15,12:45,14:00,Tesla Model Y,XYZ7890,52.8,118.80,Cartão de Crédito,150,75,Completa,C1130,E05
131,2025-01-15,14:15,15:30,Renault Megane E-Tech,ABC1234,43.7,98.33,Aplicativo,100,75,Completa,C1131,E04
132,2025-01-15,15:45,17:15,Skoda Enyaq Coupe,DEF5678,56.9,128.03,Cartão de Débito,100,90,Completa,C1132,E04
